74,BR24133BLKS,BRACELETS,"BLK LTHR W/BRUSHD ST CLSPBR 8""",649558202599,16.5,13,br24133blks,000,0006,X1831
75,BR24133BLUGP,BRACELETS,"BLU THR W/BRUSHD GLD CLSPBR 8""",652118302530,19,17,br24133blugp,000,0006,X1830
76,BR24133BRNS,BRACELETS,"TAN LTHR W/BRUSHD ST CLSPBR 8""",649558202612,16.5,18,br24133brns,000,0006,X1833
77,BR24133REDK,BRACELETS,"RED LTHR W/BRSHD ST CLSPBR 8""""",649558202674,19,16,br24133redk,000,0006,X1832
78,BR24323,BRACELETS,"STL BLACK/BLUE IP BR 8.5""""",649558183386,38.5,90,br24323,000,0006,X1023
79,BR246K,BRACELETS,"STL BLK IP CURB BR 8.5""""""""",649558179860,21,2,br246k,000,0006,X2110
80,BR24817SM,BRACELETS,"STEEL W/ANTIQ WHT BRONZE BR 8""",649558202681,15.5,46,br24817sm,000,0006,X1537
81,BR2484,BRACELETS,INOX BRC GK SYMBL & CZS-8.5,839546303807,22.5,2,br2484,000,0006,X1531
82,BR25660BLU,BRACELETS,"BLUE LTHR W/ LAPIS BEAD BR 26""",649558202698,16.5,100,br25660blu,000,0006,NEW INOX
83,BR25661BRN,BRACELETS,"BRN LTR W.TIGER EYE BEAD BR25""",649558202667,16.5,102,br25661brn,000,0006,NEW INOX
84,BR25661RGD,BRACELETS,"BRNLTRTIGEREYEBEADBR 25"""" RGCL",649558202650,16.5,102,br25661rgd,000,0006,NEW INOX
85,BR3009,BRACELETS,"FLAT MARINER2TNE GLD&STL 8.25""",839546996610,23,7,br3009,000,0006,X1616
86,BR3025,BRACELETS,"GLD&STL VERTI&HORI LINK9MM8.5""",649558179594,16.5,105,br3025,000,0006,X1609
87,BR3170868,BRACELETS,"BRWN LTHR+STEEL COLOR CLSP 8""""",649558202476,21,100,br3170868,000,0006,X2032
88,BR319GRYHM,BRACELETS,"STL BEAD GREY HMTTE BR 8.25""""",649558176586,12.5,92,br319gryhm,000,0006,X1758
89,BR319KHM,BRACELETS,"STL BLK HMTTE ANTQ BR 8.25""""",649558176630,12.5,88,br319khm,000,0006,X1759
90,BR329,BRACELETS,"IP BLK&BRW BEAD BRW LEATH8.75""",839546190797,41.5,53,br329,000,0006,X1694/K647
91,BR336BRN,BRACELETS,"BRWN LTHR /STL CLSP BR 8.25""",649558202575,12.5,50,br336brn,000,0006,X1883
92,BR336K,BRACELETS,"BLK LTHR/STL CLSP BR 8.25""",649558202568,12.5,50,br336k,000,0006,X1881
93,BR341,BRACELETS,BRACELET BLK LTHR BRAID,839546190803,41.5,80,br341,000,0006,X1505
94,BR342,BRACELETS,"BRW LET STL RG BLK BEAD 8.75""""",839546944338,41.5,87,br342,000,0006,X1507
95,BR343,BRACELETS,"BLK LET STL BLU BEAD 8.75""""""""",839546944420,41.5,82,br343,000,0006,X1508/K641
96,BR344,BRACELETS,"BLK LEATH CELTIC KNOT 8.75""""""""",839546002946,41.5,92,br344,000,0006,X1510
97,BR346,BRACELETS,"IP BLK&STL BEAD LETHER8.75""""""""",839546190810,41.5,80,br346,000,0006,X1512/K652
98,BR348,BRACELETS,"BRN LTHR FLEUR D STL BR 8.75""""",839546694363,41.5,78,br348,000,0006,X1515
99,BR349,BRACELETS,BLK LTHR W/ RD ORNG STL BR8.5,839546694370,41.5,88,br349,000,0006,X2020
100,BR3579C,BRACELETS,"INOX BR SKULLS CURB CHAIN-9""""""",839546390944,51.5,98,br3579c,000,0006,X1946
101,BR3613,BRACELETS,"BLK IP/CABLE ALTERNAT BR 8.5""""",649558175503,32.5,102,br3613,000,0006,X1905
102,BR3670868,BRACELETS,"INOX LEATHER W/ STEEL BR 8""""",649558202520,21,100,br3670868,000,0006,X1956
103,BR3740,BRACELETS,"DRAGON BITE&BEADS BR 8.5""",649558181740,14.5,66,br3740,000,0006,X1990
104,BR3922,BRACELETS,"BLK LTHR W.STL SKULL BR 8.5""""",649558181900,16.5,59,br3922,000,0006,X1972
105,BR3922G,BRACELETS,"BLK LTHR W.GOLD SKULL BR 8.5""""",649558181917,16.5,57,br3922g,000,0006,X1980
106,BR3922K,BRACELETS,"BLUE LTHR W.BLK SKULL BR 8.5""""",649558181924,16.5,45,br3922k,000,0006,X2011
107,BR3991,BRACELETS,"LT GUN METAL CURB BR 8.7MM 8""""",649558179662,12.5,28,br3991,000,0006,X3307
108,BR4001,BRACELETS,INOX BRALEATHER.BRW.DBL.BRAI17,839546961946,23,85,br4001,000,0006,X1899/K676
109,BR4016,BRACELETS,"SKULL BRUSHED OXIDIZED BR 8.5""",649558202414,19,50,br4016,000,0006,X1875
110,BR4095,BRACELETS,"S STEEL DRAGON BITE BR 8.5""""",649558202438,23,50,br4095,000,0006,X1876
111,BR4171,BRACELETS,"S STEEL BRACELET 8.5""""",649558202407,23,49,br4171,000,0006,X1878
112,BR4199,BRACELETS,"INOX BR 3 CABLES INLAY 8.5""""""""",839546408960,24,118,br4199,000,0006,X2018
113,BR4229,BRACELETS,"INOX BRAC.B20MMBLKW/CABLES9""""""",839546002724,41.5,40,br4229,000,0006,X1532/K644
114,BR4229G,BRACELETS,"SLV BR W.GOLD CABLE 20MM 9""",652118302967,41.5,87,br4229g,000,0006,X3306
115,BR4254,BRACELETS,"STL BYZNTINECHAIN W/SKULBR8.5""",649558202421,21,50,br4254,000,0006,X1889
116,BR4541,BRACELETS,"STL,BLK,BLU BAR LINKS BR7.5""""+",652118301953,34,69,br4541,000,0006,X1779
117,BR4607,BRACELETS,"INOX CHUNKY 3 CABLE LINK 8.75""",839546986796,36.5,57,br4607,000,0006,X1570/K660
118,BR5022,BRACELETS,"STEEL XL CABLE BRACELET 8.5""",652118302974,21,51,br5022,000,0006,X1948/BVS
119,BR5022K,BRACELETS,"BLACK XL CABLE BRACELET 8.5""",652118302981,21,91,br5022k,000,0006,X1951/BVS
120,BR5026,BRACELETS,"STL GROVE BOLD BOX BRACE8.5""""",652118302813,23,42,br5026,000,0006,X1937
121,BR5027,BRACELETS,"BLK SQUARE BOX CHAIN8.5""""""""",652118302127,23,2,br5027,000,0006,X1940
122,BR5138,BRACELETS,BLK ONYX W3 BRWN/BLK/TGREYE BR,839546342240,12.5,116,br5138,000,0006,X1612
123,BR5139,BRACELETS,DBLE LINE BLK/TGEREYE BRC,839546342356,15.5,2,br5139,000,0006,X1614
124,BR5140,BRACELETS,MAT STL & LAVA 10MM BALL BRAC,839546696695,15.5,141,br5140,000,0006,X1697
125,BR5141,BRACELETS,BLK MAT ONYX&LAPIZ 10MMBALL BR,839546696701,12.5,123,br5141,000,0006,X1683
126,BR5149,BRACELETS,8MM BLCK LAVA BEAD BUDDHA HEAD,839546699160,12.5,4,br5149,000,0006,X1718
127,BR5150,BRACELETS,8MM LAPIZ BEAD BUDDHA HEAD,839546699177,12.5,52,br5150,000,0006,X1732
128,BR5166,BRACELETS,"DUBL NAVY BLUE LT HOOK CLP8""",839546699184,15.5,58,br5166,000,0006,X1720
129,BR581,BRACELETS,"STL TWO TONE BR 8.75""",649558186370,27,86,br581,000,0006,X2028
130,BR614BRNRG,BRACELETS,"ROSEGOLD IP BRN LTHR BR 8.25""""",649558181894,16.5,95,br614brnrg,000,0006,X1886
131,BR614KM,BRACELETS,"MATTE BLACK LEATHER BR 8.25""""",649558181870,16.5,85,br614km,000,0006,X1884
132,BR617,BRACELETS,SS WITH BROWN HEMATITE BRACELE,643765847802,12.5,1,br617,000,0006,X0865
133,BR618,BRACELETS,SS WITH BLUE HEMATITE BRACELET,643765847772,12.5,49,br618,000,0006,X0866
134,BR619,BRACELETS,SS WITH OLIVE HEMATITE BRACELE,643765847765,12.5,6,br619,000,0006,X0867
135,BR619141,BRACELETS,BLACK STONE BEADS BR,643765848441,7.25,32,br619141,000,0006,X3164
